date,title,link,content,date,title,link,content,date,title,link,content
"2010-11-03
								08:23",반도체·휴대전화↑ LCD·TV↓…삼성전자 3분기 매출 40조2300억 사상 최대,https://finance.naver.com//news/news_read.naver?article_id=0000433305&office_id=005&mode=search&query=삼성전자 반도체&page=172,"삼성전자는 16라인 반도체 생산능력을 궁극적으로 월 20만장(12인치 원판 기준) 이상으로 늘린다는 계획이다. 삼성전자가 16라인에서 낸드플래시 생산을 우선 추진하는......
									
								
							머니투데이 
|
 							
								
								2010-11-03
								08:23","2010-11-01
								09:00",[종합]D램 가격 하락폭↑···삼성·하이닉스 '긴장',https://finance.naver.com//news/news_read.naver?article_id=0003513756&office_id=003&mode=search&query=하이닉스&page=50,"신한금융투자는 하이닉스에 대해 가격 급락에 따른 추가적 주가 하락 가능성은 적다며 투자의견 '매수'와 목표주가 3만3000원을 유지한다고 1일 밝혔다. 하이닉스가... 
									
								
							매일경제 
|
 							
								
								2010-11-01
								09:00","2010-11-03
								15:31","LG디스플레이, ‘협력사와 상생+정도경영’ 나선다",https://finance.naver.com//news/news_read.naver?article_id=0002140589&office_id=112&mode=search&query=LG디스플레이&page=20,"LG디스플레이(대표이사 권영수)가 협력사와 함께 실력을 통한 정당한 경쟁을 의미하는 ‘정도경영’ 실천을 선언했다. LG디스플레이는 3일 경기도 ...
									
									
								
							헤럴드POP 
|
 							
								
								2010-11-03
								15:31"
"2010-12-01
								11:00","삼성전자, NFC 반도체 시장 진출",https://finance.naver.com//news/news_read.naver?article_id=0003565579&office_id=003&mode=search&query=삼성전자 반도체&page=171,"삼성전자 반도체사업부 시스템LSI 마케팅팀 김태훈 상무는 “최근 NFC 휴대폰이 선을 보이고 있어 앞으로 급격한 시장 성장이 예상된다”며 “이번에 개발한... 
									
								
							파이낸셜뉴스 
|
 							
								
								2010-12-01
								11:00","2010-12-06
								13:07","[100대 지점 추천]하이닉스,연말 수혜株..3주연속 최다 추천",https://finance.naver.com//news/news_read.naver?article_id=0002019346&office_id=013&mode=search&query=하이닉스&page=40,"삼성전자, 하이닉스가 1500원 규모의 반도체 펀드를 조성해 중소 반도체 업체를... 지식경제부는 6일 서울 태평로 플라자호텔에서 삼성전자와 하이닉스 등 수요... 
									
								
							내일신문 
|
 							
								
								2010-12-06
								13:07","2010-12-08
								22:56","LG디스플레이, 대-중소기업협력대상 대통령표창",https://finance.naver.com//news/news_read.naver?article_id=0002150479&office_id=112&mode=search&query=LG디스플레이&page=14,"유럽연합, EU 집행위원회가 LG 디스플레이의 담합 혐의를 인정해 2억 1500만유로, 약 3250억 원의 과징금을 부과했습니다. 집행위는 오늘(8일) LCD 패널 시장에...
									
								
							MBN 
|
 							
								
								2010-12-08
								22:56"
"2011-01-13
								10:37","삼성전자, 반도체·갤럭시의 힘",https://finance.naver.com//news/news_read.naver?article_id=0002367946&office_id=015&mode=search&query=삼성전자 반도체&page=167,"쓰이는 비메모리를 개발한다는 계획입니다. 이번 20나노미터 이하급 공정 개발은 IBM의 뉴욕연구소와 삼성전자 반도체연구소에서 공동으로 추진할 예정입니다.
									
								
							머니투데이 
|
 							
								
								2011-01-13
								10:37","2011-01-03
								14:59","하이닉스 사장, “올해 도약과 뒤쳐짐의 갈림길”",https://finance.naver.com//news/news_read.naver?article_id=0002378504&office_id=014&mode=search&query=하이닉스&page=28,"오늘(3일) 코스피가 2011년 상승으로 첫 발을 내딘 가운데, 하이닉스(000660)의 힘찬 반등이 돋보였다. 과연 하이닉스는 올해 도약에 성공할 수 있을까? 잠시 후 ...
									
								
							이데일리 
|
 							
								
								2011-01-03
								14:59","2011-01-05
								18:03",[CES2011]준비상황 체크하는 권영수 LG디스플레이 사장,https://finance.naver.com//news/news_read.naver?article_id=0003626552&office_id=003&mode=search&query=LG디스플레이&page=8,"LG디스플레이가 CES 전시회 기간동안 차세대 3D 패널을 앞세워 북미 시장 공략에 박차를 가한다. 권영수 사장이 직접 현지 고객사 및 유통업체들과의 미팅을... 
									
								
							전자신문 
|
 							
								
								2011-01-05
								18:03"
"2011-02-11
								15:12",삼성전자 반도체 브랜드 마케팅 나선다,https://finance.naver.com//news/news_read.naver?article_id=0002131059&office_id=011&mode=search&query=삼성전자 반도체&page=165,"모바일 AP '엑시노스' 선봬 삼성전자가 반도체 브랜드 마케팅에 나선다. 삼성전자는 시스템LSI 사업 부문의 주요 생산제품인 모바일 AP(App...
									
									
								
							서울경제 
|
 							
								
								2011-02-11
								15:12","2011-02-01
								09:18",하이닉스 '승자 프리미엄',https://finance.naver.com//news/news_read.naver?article_id=0002383249&office_id=015&mode=search&query=하이닉스&page=7,"하이닉스가 상승세를 이어가면서 3만원을 돌파했다. 1일 오전 9시 14분 현재 하이닉스는 전일보다 2.02% 상승한 3만250원을 기록 중이다. 이날 하이닉스는 2만980...
									
								
							파이낸셜뉴스 
|
 							
								
								2011-02-01
								09:18","2011-02-15
								08:58","[에너지절약이 경쟁력이다]LG디스플레이, 생산량 6배 늘어도 연료비 19% 줄어",https://finance.naver.com//news/news_read.naver?article_id=0002106640&office_id=030&mode=search&query=LG디스플레이&page=3,"지난해 세계 LCD패널시장에서 LG디스플레이가 출하량 기준으로 세계 1위를 차지했다. 15일 디스플레이서치에 따르면 지난 2010년에 세계 LCD패널시장에서... 
									
								
							파이낸셜뉴스 
|
 							
								
								2011-02-15
								08:58"
"2011-03-15
								13:27","제이티, 삼성전자에 106억원 규모 반도체 검사장비 공급",https://finance.naver.com//news/news_read.naver?article_id=0000218943&office_id=031&mode=search&query=삼성전자 반도체&page=164,"반도체검사장비 및 지능형교통시스템 전문기업인 제이티(각자대표 유홍준, 박종서)는 삼성전자에 총 106억원 규모의 시스템반도체 검사장비 공급계약을 체결했다고... 
									
								
							전자신문 
|
 							
								
								2011-03-15
								13:27","2011-03-28
								11:10",SK·하이닉스등 저평가株가 ‘보석’,https://finance.naver.com//news/news_read.naver?article_id=0000354004&office_id=016&mode=search&query=SK하이닉스&page=166,"SK의 하이닉스 인수설은 단순 루머에 불과하다는 분석이 나오며 주가가 강세를 보이고 있다. SK는 28일 코스피 시장에서 오전 11시 1분 현재 전일대비 2.27%오른.....
									
								
							머니투데이 
|
 							
								
								2011-03-28
								11:10","2011-03-20
								10:00","LG디스플레이, 日에 5톤 분량 생필품 지원",https://finance.naver.com//news/news_read.naver?article_id=0002572468&office_id=277&mode=search&query=LG디스플레이&page=200,"[ LG디스플레이(대표 권영수)가 대지진으로 극심한 피해를 겪은 일본 구호물품 지원에 나섰다. LG디스플레이는 지난 18일 파주 공장에서 치약·...
									
									
								
							아시아경제 
|
 							
								
								2011-03-20
								10:00"
"2011-04-14
								10:32","삼성전자, 반도체 포럼 개최..""그린 IT 주도할 것""",https://finance.naver.com//news/news_read.naver?article_id=0002421299&office_id=018&mode=search&query=삼성전자 반도체&page=162,"삼성전자가 '반도체 최고정보관리책임자(CIO)포럼' 활동을 전 세계로 확대합니다. 독일 뮌헨에서 열린 첫 해외 반도체 CIO 포럼에서는 인텔과 IBM, 마이크로소프트......
									
								
							머니투데이 
|
 							
								
								2011-04-14
								10:32",,,,"■트레이더에게 듣는다-김춘석 SK증권 부지점장 하이닉스 인수 참여의사, STX그룹'명확' SK그룹 '애매' 시장이 호조세를 보이고 있다. 그 와...
									
									
								
							SBS Biz 
|
 							
								
								2011-07-07
								16:00","2011-04-05
								10:29",[기상도] LG디스플레이·삼성테크윈 '구름'…롯데쇼핑 '구름 해',https://finance.naver.com//news/news_read.naver?article_id=0000003294&office_id=375&mode=search&query=LG디스플레이&page=198,"[ LG디스플레이(대표 권영수)는 업무시간인 오후 3시부터 30분간 본사 전체 임직원이 자유로운 휴식시간을 갖는 '크리에이티브 타임' 제도를 시행한다고 5일 밝혔다.......
									
								
							아시아경제 
|
 							
								
								2011-04-05
								10:29"
"2011-05-27
								14:47",[이슈] 반도체 협공받는 삼성전자,https://finance.naver.com//news/news_read.naver?article_id=0000033991&office_id=024&mode=search&query=삼성전자 반도체&page=160,"[ 글로벌스탠다드테크놀로지는 삼성전자와 20억원 규모의 반도차장비(Scrubber) 공급계약을 체결했다고 27일 공시했다.
									
								
							아시아경제 
|
 							
								
								2011-05-27
								14:47",,,,,"2011-05-12
								10:47","LG디스플레이 ""미국법인 매출 260% 늘린다""",https://finance.naver.com//news/news_read.naver?article_id=0002606071&office_id=277&mode=search&query=LG디스플레이&page=191,"이동선 LGD 미국법인장 [애플과 휴렛팩커드(HP) 등 우량고객을 보유하고 있는 LG디스플레이(대표 권영수) 미국법인이 올해 작년보다 260% ...
									
									
								
							아시아경제 
|
 							
								
								2011-05-12
								10:47"
,,,,,,,,"2011-06-01
								12:00",권영수 LG디스플레이 사장의 '행복교감',https://finance.naver.com//news/news_read.naver?article_id=0002613736&office_id=277&mode=search&query=LG디스플레이&page=189,"관세청은 1일 LG디스플레이 관세분쟁 해결과 관련해 LG디스플레이 권영수 사장이 윤영선 관세청장에게 감사패를 전달했다고 밝혔다. 폴란드 관세당국은... 
									
								
							연합뉴스 
|
 							
								
								2011-06-01
								12:00"
"2011-07-01
								11:57",삼성전자 반도체.LCD 총괄사장에 권오현(종합),https://finance.naver.com//news/news_read.naver?article_id=0005141563&office_id=001&mode=search&query=삼성전자 반도체&page=159,"삼성전자는 부품 사업 간 시너지 제고를 위해 메모리반도체와 시스템LSIㆍLCD 사업을 모두 맡는 'DS(디바이스 솔루션) 사업총괄'을 신설하고 권오현 사장을 총괄사장에.....
									
								
							서울경제 
|
 							
								
								2011-07-01
								11:57","2011-07-07
								16:00","명확한 STX·애매한 SK…하이닉스, 누구 품에 안겨야 더 좋을까",https://finance.naver.com//news/news_read.naver?article_id=0000008909&office_id=375&mode=search&query=SK하이닉스&page=165,"■트레이더에게 듣는다-김춘석 SK증권 부지점장 하이닉스 인수 참여의사, STX그룹'명확' SK그룹 '애매' 시장이 호조세를 보이고 있다. 그 와...
									
									
								
							SBS Biz 
|
 							
								
								2011-07-07
								16:00","2011-07-11
								07:12","LG디스플레이, 김종훈 본부장에 공로패",https://finance.naver.com//news/news_read.naver?article_id=0002636149&office_id=277&mode=search&query=LG디스플레이&page=185,"[ 김종훈 통상교섭본부장이 LG디스플레이로부터 감사패를 받는다. 지난해 폴란드 세관이 LG디스플레이 LCD를 5% 과세부과 품목으로 잠정분류했는...
									
									
								
							아시아경제 
|
 							
								
								2011-07-11
								07:12"
"2011-08-08
								16:31","삼성전자, '반도체·LCD 실적 부진' 스마트폰이 메워",https://finance.naver.com//news/news_read.naver?article_id=0002273368&office_id=079&mode=search&query=삼성전자 반도체&page=156,"[ 테스는 삼성전자와 33억5500만원 규모의 반도체 제조장비 공급계약을 체결했다고 8일 공시했다.
									
								
							아시아경제 
|
 							
								
								2011-08-08
								16:31",,,,,"2011-08-03
								14:40",하이닉스·LG디스플레이 실적 부진,https://finance.naver.com//news/news_read.naver?article_id=0000035093&office_id=024&mode=search&query=LG디스플레이&page=181,"LG디스플레이는 우수 연구개발인력과 엔지니어들에게 실질적인 정년 연장 혜택을 제공하기로 했습니다. </object LG디스플레이는 우수 연구개발과 공정, 장비분야... 
									
								
							머니투데이 
|
 							
								
								2011-08-03
								14:40"
