date,title,link,content
"2019-05-07
								09:59","삼성전자, 이번엔 ‘車반도체’ 승부수",https://finance.naver.com//news/news_read.naver?article_id=0004223089&office_id=014&mode=search&query=삼성전자 반도체&page=42,"삼성전자가 최근 시스템 반도체 분야에 133조원을 투자한다고 발표하면서 관련 분야의 중요성이 커지고 있다. 아이에이는 기존 축적한 시스템 반도체 핵심기술을... 
									
								
							아시아경제 
|
 							
								
								2019-05-07
								09:59"
"2019-05-13
								11:00",삼성전자 車반도체 기능안전 국제표준 인증..업체 기준 충족,https://finance.naver.com//news/news_read.naver?article_id=0004217327&office_id=008&mode=search&query=삼성전자 반도체&page=41,"자율주행 시스템에서 반도체 안전성이 강조되면서 지난해 반도체 적용 가이드라인이 추가됐다. 삼성전자는 이번 인증으로 글로벌 고객들이 요구하는......
									
									
								
							머니투데이 
|
 							
								
								2019-05-13
								11:00"
"2019-06-04
								10:43",동맹군 늘리는 삼성전자...시스템반도체 강화 속도,https://finance.naver.com//news/news_read.naver?article_id=0002332752&office_id=119&mode=search&query=삼성전자 반도체&page=37,"AMD 그래픽 IP 제공받아 AP 엑시노스에 활용 ‘반도체 비전 2030’ 달성 시동...동맹군 확대 삼성전자가 AMD와 고성능 그래픽 설계자산...
									
									
								
							데일리안 
|
 							
								
								2019-06-04
								10:43"
"2019-06-13
								11:00","삼성전자, 반도체 협력사 정밀배관 인력 양성 지원",https://finance.naver.com//news/news_read.naver?article_id=0004483315&office_id=277&mode=search&query=삼성전자 반도체&page=36,"'반도체 정밀배관 기술 아카데미'는 2018년 2월부터 삼성전자 반도체 8개 협력사가 설립해 운영하는 교육기관이다. 13일 삼성전자는 이날 '반...
									
									
								
							아시아경제 
|
 							
								
								2019-06-13
								11:00"
"2019-06-17
								10:09",반도체 정밀배관 전문가 키우는 삼성전자,https://finance.naver.com//news/news_read.naver?article_id=0002533376&office_id=029&mode=search&query=삼성전자 반도체&page=35,"코스닥 상장사 엑시콘(092870)은 삼성전자와 85억2000만원 규모의 반도체 검사장비 공급계약을 맺었다고 17일 공시했다. 계약금은 지난해 연결기준 매출의 15.09....
									
								
							뉴시스 
|
 							
								
								2019-06-17
								10:09"
"2019-07-02
								11:19","삼성전자 ""4배 가볍고 8배 빠르다""...AI 반도체 강화할 ‘비밀병기’ 선보여",https://finance.naver.com//news/news_read.naver?article_id=0009319165&office_id=003&mode=search&query=삼성전자 반도체&page=33,"동시에, 삼성전자의 시스템반도체 역량을 끌어올리는데 기여할 전망이다. 보통 AI 기기가 복잡한 연산을 하기 위해 클라우드 서버를 거치는 것과 달...
									
									
								
							뉴시스 
|
 							
								
								2019-07-02
								11:19"
"2019-07-03
								16:47",삼성전자 반도체사업부 성과급 '100%'…모바일은?,https://finance.naver.com//news/news_read.naver?article_id=0004243062&office_id=008&mode=search&query=삼성전자 반도체&page=32,"[메모리반도체 업황부진 불구…SK하이닉스도 격려금 100% 지급] 삼성전자가 반도체 부문 임직원들에게 성과급을 최대치로 지급하기로 했다. 지난해...
									
									
								
							머니투데이 
|
 							
								
								2019-07-03
								16:47"
"2019-07-05
								09:29","삼성전자, 대외적 어려움 속 영업익 6조원대 지켜...반도체는 부진(종합)",https://finance.naver.com//news/news_read.naver?article_id=0009325969&office_id=003&mode=search&query=삼성전자 반도체&page=31,"최악의 경우 생산 중단으로 이어질 수 있어 대책 마련에 부심하고 있는 상황이다. 반도체 업계를 대표하는 삼성전자 역시 큰 피해가 예상된다.
									
									
								
							뉴시스 
|
 							
								
								2019-07-05
								09:29"
"2019-08-01
								05:45","삼성전자, 2분기 반도체 부진…상반기 영업익 반토막",https://finance.naver.com//news/news_read.naver?article_id=0000750960&office_id=382&mode=search&query=삼성전자 반도체&page=21,"시장 침체로 분기 영업익 3조 원대 日수출 규제로 시장 회복 불투명 삼성전자가 반도체 경기 침체로 인한 실적 악화로 인해 2분기 연속 6조 원대...
									
									
								
							스포츠동아 
|
 							
								
								2019-08-01
								05:45"
"2019-08-04
								14:13","外人, 日 반도체 소재 수출 규제에도 삼성전자·SK하이닉스 2조원 집중매수",https://finance.naver.com//news/news_read.naver?article_id=0002544203&office_id=029&mode=search&query=삼성전자 반도체&page=20,"일본의 반도체 소재 수출규제에도 외국인들은 삼성전자와 SK하이닉스를 2조원 규모로 집중 매집했다. 4일 한국거래소에 따르면 일본의 경제 도발이 ...
									
									
								
							디지털타임스 
|
 							
								
								2019-08-04
								14:13"
